"","peel","SSB","F","index","year"
"234",7,83968.0184042614,0.449032446421629,3,1982
"235",7,70582.9222883645,0.547325949333436,4,1983
"236",7,46846.8025554995,0.705848520956746,5,1984
"237",7,35564.3196459943,0.853739191796537,6,1985
"238",7,24886.8587529801,0.446486429996133,7,1986
"239",7,21660.1717498666,0.53348924899407,8,1987
"240",7,18435.5725144548,0.525757590223688,9,1988
"241",7,16543.542831384,0.363716212729741,10,1989
"242",7,19541.3027778055,0.434244635909538,11,1990
"243",7,22578.5263127582,0.401418727763066,12,1991
"244",7,28304.9559503183,0.458337739076579,13,1992
"245",7,29673.31792929,0.511129161761805,14,1993
"246",7,27830.6156471235,0.604151706219475,15,1994
"247",7,32045.1511327514,0.408091825255019,16,1995
"248",7,33523.3982156789,0.294899637483282,17,1996
"249",7,31698.0517172948,0.369826217722634,18,1997
"250",7,33035.2541126317,0.301179432404716,19,1998
"251",7,36633.5322404165,0.237796740340536,20,1999
"252",7,49935.7812237379,0.194964257114413,21,2000
"253",7,51352.4489089096,0.238721061422348,22,2001
"254",7,40133.43209256,0.280373667408831,23,2002
"255",7,28220.1842432473,0.263521917443729,24,2003
"256",7,24827.341223693,0.256522104679929,25,2004
"257",7,22696.9616524215,0.165170931933537,26,2005
"258",7,24863.8342412685,0.173983666894054,27,2006
"259",7,30237.9886742382,0.114729439627033,28,2007
"260",7,40197.0472375482,0.143118691628289,29,2008
"261",7,47924.0546637491,0.131802200474661,30,2009
"262",7,52755.9901215762,0.130868204452845,31,2010
"263",7,57391.8625255485,0.0645078174884045,32,2011
"264",7,52124.9376195329,0.0651012046191704,33,2012
"265",7,46755.7288420923,0.0612612134349981,34,2013
"266",7,57889.8733672947,0.0482017344648283,35,2014
